timestamp,voltage_initial_mv,voltage_distorted_mv
0.54364,4868.035190615836,4320.625610948191
0.544464,4628.543499511241,4335.288367546432
0.545288,4232.649071358748,4227.761485826002
0.546104,3729.2277614858262,3978.494623655914
0.54692,3132.9423264907136,3607.038123167156
0.547736,2497.5562072336265,3162.2678396871943
0.54856,1857.282502443793,2668.6217008797653
0.549384,1265.884652981427,2135.8748778103613
0.550208,752.6881720430107,1632.4535679374387
0.551024,366.5689149560117,1256.1094819159334
0.551792,117.30205278592376,1065.4936461388074
0.552568,29.32551319648094,933.5288367546433
0.553304,39.100684261974585,855.327468230694
0.554032,112.41446725317694,772.238514173998
0.5548,361.6813294232649,772.238514173998
0.555576,752.6881720430107,850.4398826979472
0.5564,1260.9970674486804,1070.3812316715541
0.557216,1852.394916911046,1368.5239491691104
0.558032,2492.6686217008796,1705.767350928641
0.558856,3132.9423264907136,2096.774193548387
0.55968,3724.3401759530793,2531.769305962854
0.560504,4237.536656891495,2971.6520039100683
0.56132,4623.655913978494,3465.298142717498
0.562136,4872.922776148583,3895.405669599218
0.56296,4956.011730205279,4178.885630498534
0.563824,4872.922776148583,4330.400782013685
0.564648,4618.768328445747,4345.063538611926
0.565464,4237.536656891495,4237.536656891495
0.56628,3729.2277614858262,3983.382209188661
0.567096,3137.82991202346,3616.8132942326492
0.56792,2492.6686217008796,3172.043010752688
0.568744,1862.1700879765397,2673.509286412512
0.56956,1260.9970674486804,2145.650048875855
0.570376,752.6881720430107,1647.1163245356793
0.571192,361.6813294232649,1295.2101661779081
0.571968,122.18963831867057,1104.594330400782
0.572744,39.100684261974585,943.3040078201369
0.573472,112.41446725317694,850.4398826979472
0.57424,361.6813294232649,855.327468230694
0.575016,361.6813294232649,938.4164222873901
0.575792,752.6881720430107,1158.357771260997
0.576608,1265.884652981427,1275.659824046921
0.577424,1857.282502443793,1432.0625610948193
0.578248,2497.5562072336265,1730.2052785923756
0.579072,3132.9423264907136,2116.324535679374
0.579896,3724.3401759530793,2536.656891495601
0.580712,4237.536656891495,2991.2023460410555
0.581528,4628.543499511241,3489.736070381232
0.582352,4877.81036168133,3905.180840664712
