timestamp,voltage_initial_mv,voltage_distorted_mv
0.540872,1857.282502443793,1808.4066471163246
0.541688,1857.282502443793,1808.4066471163246
0.542512,1857.282502443793,1798.631476050831
0.543336,1852.394916911046,2091.8866080156404
0.54416,2492.6686217008796,2223.851417399804
0.544976,2487.781036168133,2311.827956989247
0.545796,2492.6686217008796,2365.5913978494623
0.546616,2502.4437927663735,2409.5796676441837
0.54744,1857.282502443793,1808.4066471163246
0.541688,1857.282502443793,1808.4066471163246
0.542512,1857.282502443793,1798.631476050831
0.543336,1852.394916911046,2091.8866080156404
0.54416,2492.6686217008796,2223.851417399804
0.544976,2487.781036168133,2311.827956989247
0.545796,2492.6686217008796,2365.5913978494623
0.546616,2502.4437927663735,2409.5796676441837
0.54744,2492.6686217008796,2429.130009775171
0.548264,2492.6686217008796,2448.680351906158
0.54908,2487.781036168133,2458.455522971652
0.549896,2482.893450635386,2468.230694037146
0.550712,2487.781036168133,2478.0058651026393
0.551536,2497.5562072336265,2478.0058651026393
0.55236,2487.781036168133,2487.781036168133
0.553176,2492.6686217008796,2487.781036168133
0.553992,2492.6686217008796,2492.6686217008796
0.554808,2497.5562072336265,2487.781036168133
0.555632,2492.6686217008796,2482.893450635386
0.556456,2487.781036168133,2473.1182795698924
0.557272,2492.6686217008796,2468.230694037146
0.558088,2492.6686217008796,2463.343108504399
0.558904,2492.6686217008796,2448.680351906158
0.559728,2492.6686217008796,2438.905180840665
0.560552,2487.781036168133,2434.017595307918
0.561368,2492.6686217008796,2438.905180840665
0.562184,2492.6686217008796,2429.130009775171
0.563,2482.893450635386,2438.905180840665
0.563824,2492.6686217008796,2438.905180840665
0.564648,2487.781036168133,2443.7927663734117
0.565464,2502.4437927663735,2443.7927663734117
0.56628,2492.6686217008796,2453.567937438905
0.567096,2492.6686217008796,2468.230694037146
0.56792,2487.781036168133,2473.1182795698924
0.568744,2497.5562072336265,2478.0058651026393
0.56956,2487.781036168133,2487.781036168133
0.570376,2497.5562072336265,2482.893450635386
0.571192,2487.781036168133,2492.6686217008796
0.572016,2492.6686217008796,2497.5562072336265
0.57284,2492.6686217008796,2492.6686217008796
0.573656,2487.781036168133,2497.5562072336265
0.574472,2487.781036168133,2487.781036168133
0.575288,2492.6686217008796,2492.6686217008796
0.576112,2497.5562072336265,2482.893450635386
0.576928,2482.893450635386,2473.1182795698924
0.577744,2482.893450635386,2468.230694037146
0.578564,2492.6686217008796,2458.455522971652
0.579376,2492.6686217008796,2443.7927663734117
0.5802,2482.893450635386,2443.7927663734117
0.581024,2502.4437927663735,2443.7927663734117
0.58184,2492.6686217008796,2438.905180840665
0.58266,2492.6686217008796,2438.905180840665
0.58348,2482.893450635386,2438.905180840665
0.584304,2492.6686217008796,2448.680351906158
0.585128,3128.0547409579667,2732.160312805474
0.585944,3128.0547409579667,2864.1251221896387
0.58676,3132.9423264907136,2952.101661779081
0.587576,3118.279569892473,3010.752688172043
0.5884,3132.9423264907136,3049.8533724340177
0.589224,3123.16715542522,3079.1788856304984
0.59004,3128.0547409579667,3093.841642228739
0.590856,3128.0547409579667,3103.6168132942325
0.591672,3132.9423264907136,3113.3919843597264
0.592496,3132.9423264907136,3123.16715542522
0.59332,3118.279569892473,3123.16715542522
0.594136,3128.0547409579667,3123.16715542522
0.594952,3128.0547409579667,3118.279569892473
0.595768,3128.0547409579667,3113.3919843597264
0.596592,3123.16715542522,3103.6168132942325
0.597416,3132.9423264907136,3098.7292277614856
0.598232,3137.82991202346,3098.7292277614856
0.599048,3132.9423264907136,3088.954056695992
0.599864,3128.0547409579667,3084.0664711632453
0.600688,3132.9423264907136,3074.2913000977514
0.601512,3132.9423264907136,3074.2913000977514
0.602328,3123.16715542522,3059.628543499511
0.603144,3123.16715542522,3074.2913000977514
0.60396,3132.9423264907136,3079.1788856304984
0.604784,3128.0547409579667,3074.2913000977514
0.605608,3128.0547409579667,3088.954056695992
0.606424,3123.16715542522,3098.7292277614856
0.60724,3118.279569892473,3103.6168132942325
0.608056,3123.16715542522,3108.5043988269795
0.60888,3128.0547409579667,3118.279569892473
0.609704,3137.82991202346,3118.279569892473
0.61052,3128.0547409579667,3123.16715542522
0.611336,3132.9423264907136,3128.0547409579667
0.612152,3128.0547409579667,3128.0547409579667
0.612976,3123.16715542522,3132.9423264907136
0.6138,3128.0547409579667,3132.9423264907136
0.614616,3123.16715542522,3123.16715542522
