timestamp,voltage_initial_mv,voltage_distorted_mv
0.22152,752.6881720430107,962.8543499511242
0.222336,1857.282502443793,2478.0058651026393
0.223152,3123.16715542522,3387.096774193548
0.54048,34.21309872922776,107.52688172043013
0.541168,351.9061583577713,229.71652003910071
0.541896,747.8005865102639,1231.6715542521995
0.542712,1852.394916911046,2448.680351906158
0.543536,3132.9423264907136,3695.0146627565987
0.54436,4232.649071358748,4574.780058651026
0.545184,4868.035190615836,4872.922776148583
0.546,4863.147605083089,4736.0703812316715
0.54682,4232.649071358748,3782.991202346041
0.54764,3132.9423264907136,2521.9941348973607
0.548464,1852.394916911046,1867.0576735092866
0.549288,747.8005865102639,747.8005865102639
0.550104,117.30205278592376,141.73998044965785
0.550832,112.41446725317694,83.08895405669598
0.551568,738.0254154447703,738.0254154447703
0.552392,1852.394916911046,1847.5073313782993
0.553216,3132.9423264907136,3113.3919843597264
0.554032,4242.424242424242,4217.986314760508
0.554848,4868.035190615836,4809.3841642228745
0.555672,4863.147605083089,4882.6979472140765
0.556496,4628.543499511241,4222.873900293255
0.55732,3724.3401759530793,3137.82991202346
0.558136,2497.5562072336265,1852.394916911046
0.558952,1256.1094819159334,762.4633431085044
0.559776,361.6813294232649,180.84066471163246
0.560512,43.98826979472141,68.42619745845552
0.5612,381.2316715542522,234.60410557184753
0.561928,1251.2218963831867,1241.446725317693
0.562752,1847.5073313782993,2473.1182795698924
0.563576,3123.16715542522,3699.902248289345
0.564392,4232.649071358748,4589.4428152492665
0.565208,4853.372434017596,4887.585532746823
0.566072,4872.922776148583,4731.182795698925
0.566896,4237.536656891495,3739.00293255132
0.56772,3128.0547409579667,2507.3313782991204
0.568536,1847.5073313782993,1256.1094819159334
0.569352,747.8005865102639,571.8475073313782
0.570168,92.86412512218963,146.6275659824047
0.570904,112.41446725317694,122.18963831867057
0.57164,747.8005865102639,723.3626588465298
0.572456,1847.5073313782993,1832.8445747800588
0.573272,3128.0547409579667,3084.0664711632453
0.574096,4237.536656891495,4183.773216031281
0.57492,4863.147605083089,4711.632453567938
0.575744,4863.147605083089,4882.6979472140765
0.57656,4227.761485826002,4247.311827956989
0.577376,3128.0547409579667,3132.9423264907136
0.578192,2492.6686217008796,1862.1700879765397
0.579016,1260.9970674486804,782.0136852394917
0.579832,356.7937438905181,288.3675464320625
0.58056,29.32551319648094,63.5386119257087
0.581248,361.6813294232649,210.16617790811338
0.581984,1265.884652981427,1231.6715542521995
0.5828,2492.6686217008796,2438.905180840665
0.583616,3128.0547409579667,3699.902248289345
0.58444,4227.761485826002,4613.880742913
0.585264,4868.035190615836,4833.822091886608
0.586088,4872.922776148583,4716.520039100685
0.586904,4242.424242424242,3719.4525904203324
0.58772,3132.9423264907136,2526.8817204301076
0.588544,1847.5073313782993,1564.0273704789834
0.589368,752.6881720430107,586.5102639296188
0.590192,107.52688172043013,131.96480938416423
0.59092,117.30205278592376,117.30205278592376
0.591648,752.6881720430107,733.1378299120234
0.592472,1847.5073313782993,1823.0694037145652
0.593296,3137.82991202346,3118.279569892473
0.594112,4237.536656891495,4183.773216031281
0.594928,4863.147605083089,4819.159335288367
0.595752,4863.147605083089,4877.81036168133
0.596576,4232.649071358748,4252.199413489736
0.5974,3118.279569892473,3147.605083088954
0.598216,2497.5562072336265,1871.9452590420333
0.599032,1265.884652981427,757.5757575757576
0.599856,361.6813294232649,263.92961876832845
0.600592,39.100684261974585,39.100684261974585
0.601232,356.7937438905181,200.39100684261973
0.60196,752.6881720430107,992.1798631476051
0.602784,1852.394916911046,2482.893450635386
0.603608,3123.16715542522,3675.4643206256114
0.604432,4232.649071358748,4384.1642228739
0.605248,4872.922776148583,4868.035190615836
0.606064,4877.81036168133,4716.520039100685
0.606888,4232.649071358748,3729.2277614858262
0.607712,3132.9423264907136,3074.2913000977514
0.608536,1847.5073313782993,1793.7438905180843
0.609352,747.8005865102639,752.6881720430107
0.610168,117.30205278592376,136.85239491691104
0.610904,112.41446725317694,73.31378299120234
0.61164,747.8005865102639,713.5874877810362
0.612456,1852.394916911046,1827.9569892473119
0.613272,3128.0547409579667,3108.5043988269795
0.614096,4217.986314760508,4208.2111436950145
0.61492,4868.035190615836,4711.632453567938
0.615744,4882.6979472140765,4887.585532746823
0.6166,4242.424242424242,4227.761485826002
0.617416,3128.0547409579667,3142.717497556207
0.61824,1847.5073313782993,1857.282502443793
0.619064,1265.884652981427,816.2267839687194
0.619888,351.9061583577713,151.51515151515153
0.620616,34.21309872922776,83.08895405669598
0.621304,356.7937438905181,224.82893450635387
0.62204,1251.2218963831867,1241.446725317693
0.622864,2487.781036168133,2482.893450635386
0.62368,3724.3401759530793,3670.5767350928645
0.624496,4623.655913978494,4594.330400782013
0.62532,4868.035190615836,4868.035190615836
0.626144,4868.035190615836,4745.845552297165
0.626968,4232.649071358748,3739.00293255132
0.627784,3123.16715542522,2492.6686217008796
0.6286,1857.282502443793,1260.9970674486804
0.629424,747.8005865102639,606.0606060606061
0.630248,117.30205278592376,112.41446725317694
0.630976,107.52688172043013,107.52688172043013
0.631704,752.6881720430107,733.1378299120234
0.632528,1847.5073313782993,1823.0694037145652
0.633352,3137.82991202346,3113.3919843597264
0.634176,4237.536656891495,4227.761485826002
0.635,4868.035190615836,4838.709677419355
0.635816,4872.922776148583,4868.035190615836
0.63664,4222.873900293255,4232.649071358748
0.637464,3132.9423264907136,3152.492668621701
0.638288,1857.282502443793,1867.0576735092866
0.639104,742.9130009775171,782.0136852394917
0.63992,356.7937438905181,268.81720430107526
0.640656,29.32551319648094,141.73998044965785
0.641344,356.7937438905181,254.1544477028348
0.642072,1265.884652981427,1236.5591397849462
0.642888,2492.6686217008796,2443.7927663734117
0.643704,3729.2277614858262,3660.8015640273707
0.644528,4628.543499511241,4560.117302052786
0.645352,4951.124144672532,4843.597262952102
0.646208,4623.655913978494,4706.744868035191
0.647024,3714.565004887586,3724.3401759530793
0.647848,3137.82991202346,2487.781036168133
0.648664,1857.282502443793,1260.9970674486804
0.64948,747.8005865102639,420.33235581622677
0.650248,117.30205278592376,102.63929618768327
0.650976,102.63929618768327,97.75171065493646
0.651712,747.8005865102639,733.1378299120234
0.652536,1847.5073313782993,1827.9569892473119
0.653352,3132.9423264907136,3064.516129032258
0.654168,4232.649071358748,4227.761485826002
0.654992,4853.372434017596,4750.733137829912
0.655816,4863.147605083089,4892.47311827957
0.65668,4227.761485826002,4257.086999022483
0.657496,3128.0547409579667,3147.605083088954
0.658312,1857.282502443793,1886.6080156402738
0.659136,747.8005865102639,772.238514173998
0.65996,117.30205278592376,278.5923753665689
0.660688,29.32551319648094,58.65102639296188
0.661368,356.7937438905181,205.27859237536654
0.662104,1260.9970674486804,1226.7839687194526
0.66292,2497.5562072336265,2487.781036168133
0.663736,3734.115347018573,3699.902248289345
0.664552,4623.655913978494,4511.2414467253175
0.665376,4956.011730205279,4863.147605083089
0.66624,4618.768328445747,4726.295210166179
0.667056,3729.2277614858262,3758.5532746823073
0.66788,2492.6686217008796,2482.893450635386
0.668696,1857.282502443793,1260.9970674486804
0.669512,747.8005865102639,391.00684261974584
0.670288,112.41446725317694,219.94134897360706
0.671024,102.63929618768327,166.17790811339196
0.671752,742.9130009775171,738.0254154447703
0.672568,1852.394916911046,1837.7321603128057
0.673384,3132.9423264907136,3113.3919843597264
0.674208,4222.873900293255,4213.098729227761
0.675024,4863.147605083089,4775.171065493646
0.675844,4863.147605083089,4838.709677419355
0.676656,4232.649071358748,4232.649071358748
0.67748,3137.82991202346,3137.82991202346
0.678296,2492.6686217008796,1871.9452590420333
0.679112,1270.772238514174,796.6764418377321
0.679928,351.9061583577713,263.92961876832845
0.680664,29.32551319648094,185.72825024437927
0.681352,361.6813294232649,293.2551319648094
0.68208,1260.9970674486804,1241.446725317693
0.682896,2482.893450635386,2473.1182795698924
0.68372,3132.9423264907136,3445.747800586511
0.684544,4237.536656891495,4384.1642228739
0.685368,4868.035190615836,4877.81036168133
0.686184,4868.035190615836,4726.295210166179
0.687,4232.649071358748,3719.4525904203324
0.687824,3132.9423264907136,2546.432062561095
0.688648,1852.394916911046,1583.5777126099706
0.689464,747.8005865102639,738.0254154447703
0.69028,107.52688172043013,200.39100684261973
0.691008,107.52688172043013,107.52688172043013
0.691744,747.8005865102639,728.2502443792766
0.692568,1852.394916911046,1823.0694037145652
0.693384,3128.0547409579667,3113.3919843597264
0.6942,4237.536656891495,4183.773216031281
0.695024,4877.81036168133,4716.520039100685
0.695848,4868.035190615836,4784.94623655914
0.696672,4232.649071358748,4511.2414467253175
0.697488,3734.115347018573,3201.368523949169
0.698304,2482.893450635386,1862.1700879765397
0.699128,1265.884652981427,757.5757575757576
0.699952,356.7937438905181,283.4799608993157
0.700688,39.100684261974585,141.73998044965785
0.701376,351.9061583577713,263.92961876832845
0.702112,1275.659824046921,1231.6715542521995
0.702936,2502.4437927663735,2473.1182795698924
0.70376,3724.3401759530793,3690.1270772238518
0.704576,4232.649071358748,4569.892473118279
0.705392,4872.922776148583,4833.822091886608
0.706216,4877.81036168133,4711.632453567938
0.70704,4242.424242424242,3724.3401759530793
0.707864,3132.9423264907136,2502.4437927663735
0.70868,1847.5073313782993,1290.3225806451612
0.709496,747.8005865102639,576.735092864125
0.71032,107.52688172043013,92.86412512218963
0.711056,107.52688172043013,78.20136852394917
0.711784,752.6881720430107,742.9130009775171
0.7126,1847.5073313782993,1847.5073313782993
0.713424,3132.9423264907136,3098.7292277614856
0.714248,4232.649071358748,4217.986314760508
0.715072,4863.147605083089,4853.372434017596
0.715888,4868.035190615836,4892.47311827957
0.716744,4237.536656891495,4281.5249266862165
0.717568,3128.0547409579667,3142.717497556207
0.718384,1857.282502443793,1862.1700879765397
0.719208,752.6881720430107,757.5757575757576
0.720024,102.63929618768327,131.96480938416423
0.720752,39.100684261974585,48.87585532746823
0.72144,356.7937438905181,224.82893450635387
0.722176,1265.884652981427,1192.570869990225
0.722992,2492.6686217008796,2458.455522971652
0.723808,3724.3401759530793,3685.239491691105
0.724632,4623.655913978494,4589.4428152492665
0.725456,4951.124144672532,4916.911045943304
0.72636,4618.768328445747,4770.2834799609
0.727176,3729.2277614858262,3753.6656891495604
0.727992,2492.6686217008796,2541.544477028348
0.728816,1251.2218963831867,1290.3225806451612
0.72964,361.6813294232649,454.54545454545456
0.730376,107.52688172043013,161.29032258064515
0.731104,122.18963831867057,117.30205278592376
0.73184,747.8005865102639,694.0371456500488
0.732664,1847.5073313782993,1842.6197458455524
0.733488,3132.9423264907136,3108.5043988269795
0.734304,4227.761485826002,4203.323558162268
0.73512,4872.922776148583,4711.632453567938
0.735944,4868.035190615836,4853.372434017596
0.736768,4222.873900293255,4237.536656891495
0.737592,3132.9423264907136,3137.82991202346
0.738408,1852.394916911046,1857.282502443793
0.739224,747.8005865102639,772.238514173998
0.740048,112.41446725317694,268.81720430107526
0.740784,34.21309872922776,200.39100684261973
0.741472,356.7937438905181,288.3675464320625
0.7422,1256.1094819159334,1251.2218963831867
0.743024,2487.781036168133,2482.893450635386
0.743848,3719.4525904203324,3704.789833822092
0.744664,4628.543499511241,4574.780058651026
0.74548,4956.011730205279,4887.585532746823
0.746384,4618.768328445747,4721.407624633432
0.747208,3724.3401759530793,3719.4525904203324
0.748032,2487.781036168133,2492.6686217008796
0.748856,1260.9970674486804,1270.772238514174
0.749672,356.7937438905181,361.6813294232649
0.7504,112.41446725317694,205.27859237536654
0.751136,117.30205278592376,161.29032258064515
0.751872,752.6881720430107,723.3626588465298
0.752688,1852.394916911046,1837.7321603128057
0.753504,3132.9423264907136,3103.6168132942325
0.754328,4217.986314760508,4213.098729227761
0.755152,4872.922776148583,4721.407624633432
0.755976,4872.922776148583,4804.4965786901275
0.756792,4232.649071358748,4242.424242424242
0.757608,3128.0547409579667,3147.605083088954
0.758432,1862.1700879765397,1876.8328445747802
0.759256,752.6881720430107,806.4516129032257
0.76008,112.41446725317694,273.7047898338221
0.760808,24.437927663734115,112.41446725317694
0.761496,361.6813294232649,239.49169110459434
0.762232,1260.9970674486804,1241.446725317693
0.763048,2487.781036168133,2478.0058651026393
0.763864,3719.4525904203324,3704.789833822092
0.764688,4633.431085043988,4613.880742913
0.765512,4956.011730205279,4931.573802541545
0.766424,4623.655913978494,4770.2834799609
0.767248,3724.3401759530793,3724.3401759530793
0.768064,2482.893450635386,2536.656891495601
0.76888,1260.9970674486804,1256.1094819159334
0.769696,356.7937438905181,356.7937438905181
0.770432,112.41446725317694,102.63929618768327
0.77116,117.30205278592376,97.75171065493646
0.771888,752.6881720430107,728.2502443792766
0.772712,1852.394916911046,1798.631476050831
0.773536,3132.9423264907136,3108.5043988269795
0.774352,4232.649071358748,4198.435972629521
0.775172,4872.922776148583,4716.520039100685
0.775992,4872.922776148583,4892.47311827957
0.776856,4227.761485826002,4257.086999022483
0.77768,3123.16715542522,3128.0547409579667
0.778504,1847.5073313782993,1891.4956011730205
0.77932,747.8005865102639,826.001955034213
0.780136,112.41446725317694,171.0654936461388
0.780872,34.21309872922776,122.18963831867057
0.78156,356.7937438905181,244.37927663734115
0.782288,1265.884652981427,1251.2218963831867
0.783112,2487.781036168133,2473.1182795698924
0.783936,3719.4525904203324,3660.8015640273707
0.78476,4628.543499511241,4584.5552297165195
0.785576,4946.236559139785,4872.922776148583
0.786436,4618.768328445747,4711.632453567938
0.787256,3719.4525904203324,3729.2277614858262
0.78808,2492.6686217008796,2502.4437927663735
0.788904,1256.1094819159334,1260.9970674486804
0.78972,356.7937438905181,410.5571847507331
0.790448,107.52688172043013,205.27859237536654
0.791184,112.41446725317694,161.29032258064515
0.79192,738.0254154447703,738.0254154447703
0.792736,1852.394916911046,1842.6197458455524
